id,tier,cardinal_direction,confidence_score,distance_meters,poi_a_name,poi_a_type,poi_a_lat,poi_a_lon,poi_b_name,poi_b_type,poi_b_lat,poi_b_lon,sentence_1,sentence_2,sentence_3,verified,final_sentence_1,final_sentence_2,final_sentence_3,notes
nancy_0012,easy,SOUTH,0.9908,187.6,Nicolas Duchâtel,amenity,48.6823396,6.1712163,Novamut,office,48.6840264,6.1711979,Nicolas Duchâtel is located to the south of Novamut.,"Heading south from Novamut, you will reach Nicolas Duchâtel after about 200 meters.","Novamut has Nicolas Duchâtel to its south, about 200 meters away.",OK,,,,
nancy_0013,easy,SOUTH,0.9846,391.4,Café Cuba,amenity,48.6926017,6.1774797,Hôtel de Hautoy,historic,48.696121270258885,6.177544054181417,Café Cuba is located to the south of Hôtel de Hautoy.,"Heading south from Hôtel de Hautoy, you will reach Café Cuba after about 400 meters.","Hôtel de Hautoy has Café Cuba to its south, about 400 meters away.",OK,,,,
nancy_0014,easy,SOUTH,0.9701,266.0,Le Gavroche,amenity,48.6965317,6.1793119,Braconnot,public_transport,48.6989229,6.1792268,Le Gavroche is located to the south of Braconnot.,"Heading south from Braconnot, you will reach Le Gavroche after about 250 meters.","Braconnot has Le Gavroche to its south, about 250 meters away.",OK,,,,
nancy_0015,easy,SOUTH,0.9671,122.0,Voyou delivery,amenity,48.6900323,6.1837773,Carrefour City,shop,48.6911293,6.1838202,Voyou delivery is located to the south of Carrefour City.,"Heading south from Carrefour City, you will reach Voyou delivery after about 100 meters.","Carrefour City has Voyou delivery to its south, about 100 meters away.",OK,,,,
nancy_0016,easy,SOUTH,0.9713,389.6,Le San Lorenzo,amenity,48.6923409,6.1800699,Basilique Saint-Epvre,amenity,48.69584412190963,6.179950135119525,Le San Lorenzo is located to the south of Basilique Saint-Epvre.,"Heading south from Basilique Saint-Epvre, you will reach Le San Lorenzo after about 400 meters.","Basilique Saint-Epvre has Le San Lorenzo to its south, about 400 meters away.",OK,,,,
nancy_0017,easy,SOUTH,0.9849,442.2,Courir,shop,48.690106,6.180107,Deva,shop,48.6940829,6.1800355,Courir is located to the south of Deva.,"Heading south from Deva, you will reach Courir after about 450 meters.","Deva has Courir to its south, about 450 meters away.",OK,,,,
nancy_0018,easy,SOUTH,0.9602,91.9,PIX Pub,amenity,48.6874295,6.1830492,Mathis Mazon,office,48.6882553,6.1830883,PIX Pub is located to the south of Mathis Mazon.,"Heading south from Mathis Mazon, you will reach PIX Pub after 91 meters.","Mathis Mazon has PIX Pub to its south, about 91 meters away.",OK,,,,
nancy_0019,easy,SOUTH,0.9908,436.2,LCL,amenity,48.6910491,6.1830214,Hôtel de Craon,historic,48.6949719317084,6.18297848016537,LCL is located to the south of Hôtel de Craon.,"Heading south from Hôtel de Craon, you will reach LCL after about 450 meters.","Hôtel de Craon has LCL to its south, about 450 meters away.",OK,,,,
nancy_0020,easy,SOUTH,0.9779,264.2,Réjan,shop,48.6890031,6.1839136,Finsbury,shop,48.6913784,6.1839762,Réjan is located to the south of Finsbury.,"Heading south from Finsbury, you will reach Réjan after about 250 meters.","Finsbury has Réjan to its south, about 250 meters away.",OK,,,,
nancy_0021,easy,SOUTH,0.9837,374.1,Rieker,shop,48.6896672,6.1808609,Amerval,public_transport,48.6930312,6.1807957,Rieker is located to the south of Amerval.,"Heading south from Amerval, you will reach Rieker after about 350 meters.","Amerval has Rieker to its south, about 350 meters away.",OK,,,,
nancy_0022,easy,SOUTH,0.9973,250.0,Vins et Tartines,amenity,48.6884578,6.1819096,Dallo,amenity,48.6907057,6.1819169,Vins et Tartines is located to the south of Dallo.,"Heading south from Dallo, you will reach Vins et Tartines after about 250 meters.","Dallo has Vins et Tartines to its south, about 250 meters away.",OK,,,,
nancy_0023,easy,SOUTH,0.9553,184.2,Les Garçons Coiffeurs,shop,48.6915958,6.1806128,Élégamment vôtre,shop,48.693251,6.1805247,Les Garçons Coiffeurs is located to the south of Élégamment vôtre.,"Heading south from Élégamment vôtre, you will reach Les Garçons Coiffeurs after about 200 meters.","Élégamment vôtre has Les Garçons Coiffeurs to its south, about 200 meters away.",OK,,,,
nancy_0024,easy,SOUTH,0.9729,208.0,Acuitis,shop,48.687985,6.1844182,Formes et couleurs,shop,48.6898553,6.1844786,Acuitis is located to the south of Formes et couleurs.,"Heading south from Formes et couleurs, you will reach Acuitis after about 200 meters.","Formes et couleurs has Acuitis to its south, about 200 meters away.",OK,,,,
nancy_0025,easy,SOUTH,0.9541,445.6,KIKO Milano,shop,48.68823762147572,6.180360988027642,MGEL - MVS Mutuelle,office,48.6922421,6.1801424,KIKO Milano is located to the south of MGEL - MVS Mutuelle.,"Heading south from MGEL - MVS Mutuelle, you will reach KIKO Milano after about 450 meters.","MGEL - MVS Mutuelle has KIKO Milano to its south, about 450 meters away.",OK,,,,
nancy_0026,medium,SOUTH,0.9303,1098.2,Sœurs de l'Alliance,amenity,48.676087629913816,6.1804038281915,Place des Justes,public_transport,48.6859488,6.1812228,Sœurs de l'Alliance is located to the south of Place des Justes.,"Heading south from Place des Justes, you will reach Sœurs de l'Alliance after about 1.1 km.","Place des Justes has Sœurs de l'Alliance to its south, about 1.1 km away.",OK,,,,
nancy_0027,medium,SOUTH,0.8622,1525.5,Milano Pizza,amenity,48.676218,6.1772994,Thiers,amenity,48.6898571,6.175055,Milano Pizza is located to the south of Thiers.,"Heading south from Thiers, you will reach Milano Pizza after about 1.5 km.","Thiers has Milano Pizza to its south, about 1.5 km away.",OK,,,,
nancy_0028,medium,SOUTH,0.8722,556.1,Parking République,amenity,48.6873001,6.1773303,Daphné Rieger,office,48.6922757,6.176571,Parking République is located to the south of Daphné Rieger.,"Heading south from Daphné Rieger, you will reach Parking République after about 550 meters.","Daphné Rieger has Parking République to its south, about 550 meters away.",OK,,,,
nancy_0029,medium,SOUTH,0.8619,857.5,Father & Sons,shop,48.6902255,6.1810172,Monument Claude Gellée,tourism,48.6978916,6.1822818,Father & Sons is located to the south of Monument Claude Gellée.,"Heading south from Monument Claude Gellée, you will reach Father & Sons after about 850 meters.","Monument Claude Gellée has Father & Sons to its south, about 850 meters away.",OK,,,,
nancy_0030,medium,SOUTH,0.9924,1082.7,Carsi Besiktas,amenity,48.6830671,6.1903087,Près d'ici,shop,48.692804,6.1902206,Carsi Besiktas is located to the south of Près d'ici.,"Heading south from Près d'ici, you will reach Carsi Besiktas after about 1.1 km.","Près d'ici has Carsi Besiktas to its south, about 1.1 km away.",OK,,,,
nancy_0031,medium,SOUTH,0.8734,1068.8,Saurupt,amenity,48.6804504,6.181809,Foot Locker,shop,48.6900151,6.1803641,Saurupt is located to the south of Foot Locker.,"Heading south from Foot Locker, you will reach Saurupt after about 1.1 km.","Foot Locker has Saurupt to its south, about 1.1 km away.",OK,,,,
nancy_0032,medium,SOUTH,0.9031,1727.3,Bar à chicha,amenity,48.6888139,6.1855994,Croc'us,shop,48.704303,6.1838096,Bar à chicha is located to the south of Croc'us.,"Heading south from Croc'us, you will reach Bar à chicha after about 1.7 km.","Croc'us has Bar à chicha to its south, about 1.7 km away.",OK,,,,
nancy_0033,medium,SOUTH,0.8877,982.7,BeePlex,amenity,48.6899317,6.1768517,Nancy Jazz Pulsations,office,48.6987346,6.1780309,BeePlex is located to the south of Nancy Jazz Pulsations.,"Heading south from Nancy Jazz Pulsations, you will reach BeePlex after about 1000 meters.","Nancy Jazz Pulsations has BeePlex to its south, about 1000 meters away.",OK,,,,
nancy_0034,medium,SOUTH,0.9585,844.1,Nancy Gare - République,public_transport,48.6883723,6.176111,Cours Léopold,public_transport,48.69595917230215,6.1764862155654345,Nancy Gare - République is located to the south of Cours Léopold.,"Heading south from Cours Léopold, you will reach Nancy Gare - République after about 850 meters.","Cours Léopold has Nancy Gare - République to its south, about 850 meters away.",OK,,,,
nancy_0035,medium,SOUTH,0.9118,1613.7,Laverie Leclerc,shop,48.6767487,6.1775888,Office Notarial Stanislas,office,48.6912258,6.1760668,Laverie Leclerc is located to the south of Office Notarial Stanislas.,"Heading south from Office Notarial Stanislas, you will reach Laverie Leclerc after about 1.6 km.","Office Notarial Stanislas has Laverie Leclerc to its south, about 1.6 km away.",OK,,,,
nancy_0036,medium,SOUTH,0.9145,502.9,Karma,amenity,48.6879143,6.1825917,Yellow Korner,shop,48.6924272,6.1830514,Karma is located to the south of Yellow Korner.,"Heading south from Yellow Korner, you will reach Karma after about 500 meters.","Yellow Korner has Karma to its south, about 500 meters away.",OK,,,,
nancy_0037,medium,SOUTH,0.8988,1513.3,Buste Monseigneur Petit,historic,48.6819144,6.1743146,Statue Drouot,historic,48.695480878301375,6.175950993855813,Buste Monseigneur Petit is located to the south of Statue Drouot.,"Heading south from Statue Drouot, you will reach Buste Monseigneur Petit after about 1.5 km.","Statue Drouot has Buste Monseigneur Petit to its south, about 1.5 km away.",OK,,,,
nancy_0038,medium,SOUTH,0.8517,803.6,Parking République,amenity,48.6873001,6.1773303,Laverie de la Source,shop,48.6944779,6.1786026,Parking République is located to the south of Laverie de la Source.,"Heading south from Laverie de la Source, you will reach Parking République after about 800 meters.","Laverie de la Source has Parking République to its south, about 800 meters away.",OK,,,,
nancy_0039,medium,SOUTH,0.9332,1123.0,Fruiterie d'Haussonville,shop,48.6768035,6.162667,AXA,office,48.6868888,6.1618651,Fruiterie d'Haussonville is located to the south of AXA.,"Heading south from AXA, you will reach Fruiterie d'Haussonville after about 1.1 km.","AXA has Fruiterie d'Haussonville to its south, about 1.1 km away.",OK,,,,
nancy_0040,medium,SOUTH,0.8717,1396.0,Mon Désert,amenity,48.6841068,6.1764239,Arsenal,public_transport,48.6965976,6.1783371,Mon Désert is located to the south of Arsenal.,"Heading south from Arsenal, you will reach Mon Désert after about 1.4 km.","Arsenal has Mon Désert to its south, about 1.4 km away.",OK,,,,
nancy_0041,medium,SOUTH,0.9375,1844.5,Copy 54,shop,48.6738605,6.1743829,Gare – Poirel,public_transport,48.6904285,6.1756157,Copy 54 is located to the south of Gare – Poirel.,"Heading south from Gare – Poirel, you will reach Copy 54 after about 1.8 km.","Gare – Poirel has Copy 54 to its south, about 1.8 km away.",OK,,,,
nancy_0042,medium,SOUTH,0.8909,711.5,Polmard,amenity,48.6923761,6.1791592,LD Pâtisserie,shop,48.698751,6.1783295,Polmard is located to the south of LD Pâtisserie.,"Heading south from LD Pâtisserie, you will reach Polmard after about 700 meters.","LD Pâtisserie has Polmard to its south, about 700 meters away.",OK,,,,
nancy_0043,medium,SOUTH,0.8589,1753.5,Em'Institut,shop,48.6873913,6.1725982,Pierson,public_transport,48.7030644,6.17524,Em'Institut is located to the south of Pierson.,"Heading south from Pierson, you will reach Em'Institut after about 1.8 km.","Pierson has Em'Institut to its south, about 1.8 km away.",OK,,,,
nancy_0044,medium,SOUTH,0.9795,965.5,Emilie and the cool kids,amenity,48.6873396,6.1803951,Lionnois,historic,48.6960213,6.1806073,Emilie and the cool kids is located to the south of Lionnois.,"Heading south from Lionnois, you will reach Emilie and the cool kids after about 950 meters.","Lionnois has Emilie and the cool kids to its south, about 950 meters away.",OK,,,,
nancy_0045,medium,SOUTH,0.959,688.7,Khao Thip,amenity,48.6887846,6.1826749,Cour d'Appel,amenity,48.69497533669237,6.182976834288657,Khao Thip is located to the south of Cour d'Appel.,"Heading south from Cour d'Appel, you will reach Khao Thip after about 700 meters.","Cour d'Appel has Khao Thip to its south, about 700 meters away.",OK,,,,
nancy_0046,medium,SOUTH,0.8796,1416.2,Villa Les Cigognes,historic,48.677677243394754,6.182503611450691,Faïencerie,public_transport,48.6903566,6.1843247,Villa Les Cigognes is located to the south of Faïencerie.,"Heading south from Faïencerie, you will reach Villa Les Cigognes after about 1.4 km.","Faïencerie has Villa Les Cigognes to its south, about 1.4 km away.",OK,,,,
nancy_0047,medium,SOUTH,0.9033,618.3,Christine Maeder,amenity,48.6851377,6.1767065,Citya,office,48.6906818,6.1760674,Christine Maeder is located to the south of Citya.,"Heading south from Citya, you will reach Christine Maeder after about 600 meters.","Citya has Christine Maeder to its south, about 600 meters away.",OK,,,,
nancy_0048,medium,SOUTH,0.9989,1023.3,Ça Krousty,amenity,48.6831739,6.190158,Dynamo Location,shop,48.6923768,6.1901455,Ça Krousty is located to the south of Dynamo Location.,"Heading south from Dynamo Location, you will reach Ça Krousty after about 1 km.","Dynamo Location has Ça Krousty to its south, about 1 km away.",OK,,,,
nancy_0049,medium,SOUTH,0.9439,1972.7,Pizza Olto,amenity,48.671196,6.1667495,Anacours,shop,48.6889198,6.1679338,Pizza Olto is located to the south of Anacours.,"Heading south from Anacours, you will reach Pizza Olto after about 2 km.","Anacours has Pizza Olto to its south, about 2 km away.",OK,,,,
nancy_0050,medium,SOUTH,0.9211,1040.1,Baguette avec deux T,shop,48.6785375,6.1973559,Tai Ji Quan,leisure,48.6878733,6.1982337,Baguette avec deux T is located to the south of Tai Ji Quan.,"Heading south from Tai Ji Quan, you will reach Baguette avec deux T after about 1 km.","Tai Ji Quan has Baguette avec deux T to its south, about 1 km away.",OK,,,,
nancy_0051,medium,SOUTH,0.9853,1608.9,Tan My,shop,48.6674163,6.1655317,Infinity,office,48.6818846,6.1657855,Tan My is located to the south of Infinity.,"Heading south from Infinity, you will reach Tan My after about 1.6 km.","Infinity has Tan My to its south, about 1.6 km away.",OK,,,,
nancy_0052,medium,SOUTH,0.8793,298.3,Le Médiéval,amenity,48.6960284,6.177693,Nathalie Bontems,shop,48.6986989,6.1780778,Le Médiéval is located to the south of Nathalie Bontems.,"Heading south from Nathalie Bontems, you will reach Le Médiéval after about 300 meters.","Nathalie Bontems has Le Médiéval to its south, about 300 meters away.",OK,,,,
nancy_0053,medium,SOUTH,0.8922,616.0,Le palais à roulettes,amenity,48.6870581,6.1807021,Weill,shop,48.6925785,6.181412,Le palais à roulettes is located to the south of Weill.,"Heading south from Weill, you will reach Le palais à roulettes after about 600 meters.","Weill has Le palais à roulettes to its south, about 600 meters away.",OK,,,,
nancy_0054,medium,SOUTH,0.9896,810.6,Caméo Saint-Sébastien,amenity,48.6889331,6.1787659,La Toq',amenity,48.6962231,6.1786761,Caméo Saint-Sébastien is located to the south of La Toq'.,"Heading south from La Toq', you will reach Caméo Saint-Sébastien after about 800 meters.","La Toq' has Caméo Saint-Sébastien to its south, about 800 meters away.",OK,,,,
nancy_0055,medium,SOUTH,0.8856,806.4,Radio club F6KIM,amenity,48.6825447,6.1790877,AMOS ESDAC,amenity,48.6897675,6.1800732,Radio club F6KIM is located to the south of AMOS ESDAC.,"Heading south from AMOS ESDAC, you will reach Radio club F6KIM after about 800 meters.","AMOS ESDAC has Radio club F6KIM to its south, about 800 meters away.",OK,,,,
nancy_0056,medium,SOUTH,0.8895,863.3,Khao Thip,amenity,48.6887846,6.1826749,Studio Elite Training,leisure,48.6965189,6.181655,Khao Thip is located to the south of Studio Elite Training.,"Heading south from Studio Elite Training, you will reach Khao Thip after about 850 meters.","Studio Elite Training has Khao Thip to its south, about 850 meters away.",OK,,,,
nancy_0057,medium,SOUTH,0.8773,563.1,Kebab Cinq Étoiles,amenity,48.6840033,6.1717037,Hôtel Revotel,tourism,48.68904368921206,6.170965779204301,Kebab Cinq Étoiles is located to the south of Hôtel Revotel.,"Heading south from Hôtel Revotel, you will reach Kebab Cinq Étoiles after about 550 meters.","Hôtel Revotel has Kebab Cinq Étoiles to its south, about 550 meters away.",OK,,,,
nancy_0058,medium,SOUTH,0.8737,1529.7,Foyer Léon Adler,amenity,48.67876996210337,6.194576794317543,Frencci,shop,48.6924589,6.1966411,Foyer Léon Adler is located to the south of Frencci.,"Heading south from Frencci, you will reach Foyer Léon Adler after about 1.5 km.","Frencci has Foyer Léon Adler to its south, about 1.5 km away.",OK,,,,
nancy_0059,medium,SOUTH,0.8689,627.0,Damien A.,shop,48.6859676,6.184729,Les fous de terroir,shop,48.6915765,6.1838511,Damien A. is located to the south of Les fous de terroir.,"Heading south from Les fous de terroir, you will reach Damien A. after about 650 meters.","Les fous de terroir has Damien A. to its south, about 650 meters away.",OK,,,,
nancy_0060,medium,SOUTH,0.9538,1707.2,Droguerie,shop,48.6761417,6.1629224,Tombe d'Émile Gallé,historic,48.6914849,6.1620781,Droguerie is located to the south of Tombe d'Émile Gallé.,"Heading south from Tombe d'Émile Gallé, you will reach Droguerie after about 1.7 km.","Tombe d'Émile Gallé has Droguerie to its south, about 1.7 km away.",OK,,,,
nancy_0061,hard,SOUTH,0.8539,612.7,Est Confection,shop,48.6879582,6.1875889,Consulat honoraire de Lettonie,office,48.6934321,6.1866331,Est Confection is located to the south of Consulat honoraire de Lettonie.,"Heading south from Consulat honoraire de Lettonie, you will reach Est Confection after about 600 meters.","Consulat honoraire de Lettonie has Est Confection to its south, about 600 meters away.",OK,,,,
nancy_0062,hard,SOUTH,0.9844,739.7,Rice and curry,amenity,48.6904159,6.1728211,Salle Docteur Jacques Jeanblanc,leisure,48.69706806684936,6.172697879719991,Rice and curry is located to the south of Salle Docteur Jacques Jeanblanc.,"Heading south from Salle Docteur Jacques Jeanblanc, you will reach Rice and curry after about 750 meters.","Salle Docteur Jacques Jeanblanc has Rice and curry to its south, about 750 meters away.",OK,,,,
nancy_0063,hard,SOUTH,0.9536,3003.4,Speed Queen,shop,48.6700392,6.170156,Aye Aye VO,office,48.6970318,6.1716456,Speed Queen is located to the south of Aye Aye VO.,"Heading south from Aye Aye VO, you will reach Speed Queen after 3 km.","Aye Aye VO has Speed Queen to its south, about 3 km away.",OK,,,,
nancy_0064,hard,SOUTH,0.891,2355.5,Gabriel Mouilleron,public_transport,48.683315,6.1727381,Fontenoy,public_transport,48.70442080000001,6.1754824,Gabriel Mouilleron is located to the south of Fontenoy.,"Heading south from Fontenoy, you will reach Gabriel Mouilleron after 2.4 km.","Fontenoy has Gabriel Mouilleron to its south, about 2.4 km away.",OK,,,,
nancy_0065,hard,SOUTH,0.9213,3473.7,Docteur Fabienne Donner; Docteur Bénédicte Vilain,amenity,48.6716633,6.1723923,Caisse d'Assurance Retraite et de la Santé au Travail Nord-Est,office,48.70284300204384,6.169466948428849,Docteur Fabienne Donner; Docteur Bénédicte Vilain is located to the south of Caisse d'Assurance Retraite et de la Santé au Travail Nord-Est.,"Heading south from Caisse d'Assurance Retraite et de la Santé au Travail Nord-Est, you will reach Docteur Fabienne Donner; Docteur Bénédicte Vilain after 3.5 km.","Caisse d'Assurance Retraite et de la Santé au Travail Nord-Est has Docteur Fabienne Donner; Docteur Bénédicte Vilain to its south, about 3.5 km away.",OK,,,,
nancy_0066,hard,SOUTH,0.9862,3471.3,(S)pace Artem,amenity,48.6735688,6.1693227,Ewigo,shop,48.7047855,6.1698358,(S)pace Artem is located to the south of Ewigo.,"Heading south from Ewigo, you will reach (S)pace Artem after 3.5 km.","Ewigo has (S)pace Artem to its south, about 3.5 km away.",OK,,,,
nancy_0067,hard,SOUTH,0.9241,233.9,Les Frères Marchand,amenity,48.6973916,6.1789518,École Nationale Supérieure des Industries Chimiques,amenity,48.6994915543708,6.179141762298024,Les Frères Marchand is located to the south of École Nationale Supérieure des Industries Chimiques.,"Heading south from École Nationale Supérieure des Industries Chimiques, you will reach Les Frères Marchand after about 250 meters.","École Nationale Supérieure des Industries Chimiques has Les Frères Marchand to its south, about 250 meters away.",OK,,,,
nancy_0068,hard,SOUTH,0.9336,1317.8,Mairie de Quartier Mon Désert,amenity,48.6847625,6.1792726,Arsenal,public_transport,48.6965976,6.1783371,Mairie de Quartier Mon Désert is located to the south of Arsenal.,"Heading south from Arsenal, you will reach Mairie de Quartier Mon Désert after about 1.3 km.","Arsenal has Mairie de Quartier Mon Désert to its south, about 1.3 km away.",OK,,,,
nancy_0069,hard,SOUTH,0.916,926.0,Résidence Notre-Dame de Lourdes,amenity,48.675914660410335,6.17789883983434,Maison Délices,shop,48.6842239,6.1770672,Résidence Notre-Dame de Lourdes is located to the south of Maison Délices.,"Heading south from Maison Délices, you will reach Résidence Notre-Dame de Lourdes after about 950 meters.","Maison Délices has Résidence Notre-Dame de Lourdes to its south, about 950 meters away.",OK,,,,
nancy_0070,hard,SOUTH,0.8891,493.6,La Poste Nancy Place Saint-Jean,amenity,48.68903437168397,6.177864653070873,Ven’s Coiffure,shop,48.6934564,6.1784495,La Poste Nancy Place Saint-Jean is located to the south of Ven’s Coiffure.,"Heading south from Ven’s Coiffure, you will reach La Poste Nancy Place Saint-Jean after about 500 meters.","Ven’s Coiffure has La Poste Nancy Place Saint-Jean to its south, about 500 meters away.",OK,,,,
nancy_0071,hard,SOUTH,0.8887,2253.1,Phot'Antik,shop,48.6713413,6.1666284,Tombeau Henry Gutton,historic,48.6915269,6.1639495,Phot'Antik is located to the south of Tombeau Henry Gutton.,"Heading south from Tombeau Henry Gutton, you will reach Phot'Antik after 2.3 km.","Tombeau Henry Gutton has Phot'Antik to its south, about 2.3 km away.",OK,,,,
nancy_0072,hard,SOUTH,0.9109,1772.2,Pharmacie Préparatoire Delpech Nancy,amenity,48.6765817,6.1813257,Jacadi,shop,48.69248,6.1830139,Pharmacie Préparatoire Delpech Nancy is located to the south of Jacadi.,"Heading south from Jacadi, you will reach Pharmacie Préparatoire Delpech Nancy after about 1.8 km.","Jacadi has Pharmacie Préparatoire Delpech Nancy to its south, about 1.8 km away.",OK,,,,
nancy_0073,hard,SOUTH,0.8999,1666.1,Boutique de l'Oeuvre Notre-Dame-de-Lourdes,shop,48.6738595969738,6.174715653468142,Nancy Gare - République,public_transport,48.6887972,6.1764981,Boutique de l'Oeuvre Notre-Dame-de-Lourdes is located to the south of Nancy Gare - République.,"Heading south from Nancy Gare - République, you will reach Boutique de l'Oeuvre Notre-Dame-de-Lourdes after about 1.7 km.","Nancy Gare - République has Boutique de l'Oeuvre Notre-Dame-de-Lourdes to its south, about 1.7 km away.",OK,,,,
nancy_0074,hard,SOUTH,0.9625,987.1,Hôtel des Ventes Anticthermal,shop,48.6776935,6.1674768,Commanderie,public_transport,48.6865666,6.1678729,Hôtel des Ventes Anticthermal is located to the south of Commanderie.,"Heading south from Commanderie, you will reach Hôtel des Ventes Anticthermal after about 1000 meters.","Commanderie has Hôtel des Ventes Anticthermal to its south, about 1000 meters away.",OK,,,,
nancy_0075,hard,SOUTH,0.859,1033.4,Carrefour Express Nancy Jaurès,shop,48.68143833003332,6.178745651003555,Sandrine GARCIA,office,48.6906747,6.1803012,Carrefour Express Nancy Jaurès is located to the south of Sandrine GARCIA.,"Heading south from Sandrine GARCIA, you will reach Carrefour Express Nancy Jaurès after about 1 km.","Sandrine GARCIA has Carrefour Express Nancy Jaurès to its south, about 1 km away.",OK,,,,
nancy_0076,easy,NORTH,0.9642,488.0,Epitech Nancy,amenity,48.6924948465303,6.188271861826769,Boutique Lebsa.fr,shop,48.6881076,6.1880849,Epitech Nancy is located to the north of Boutique Lebsa.fr.,"Heading north from Boutique Lebsa.fr, you will reach Epitech Nancy after about 500 meters.","Boutique Lebsa.fr has Epitech Nancy to its north, about 500 meters away.",OK,,,,
nancy_0077,easy,NORTH,0.9679,396.6,Bistrot Georgette,amenity,48.6919515,6.1863774,Cyber@phone,shop,48.688386,6.1862411,Bistrot Georgette is located to the north of Cyber@phone.,"Heading north from Cyber@phone, you will reach Bistrot Georgette after about 400 meters.","Cyber@phone has Bistrot Georgette to its north, about 400 meters away.",OK,,,,
nancy_0078,easy,NORTH,0.9847,448.7,Le Speakeasy,amenity,48.6955448,6.1809391,La Faille,amenity,48.6915096,6.1810126,Le Speakeasy is located to the north of La Faille.,"Heading north from La Faille, you will reach Le Speakeasy after about 450 meters.","La Faille has Le Speakeasy to its north, about 450 meters away.",OK,,,,
nancy_0079,easy,NORTH,0.9742,325.5,Hôtel du Marquis de Ville,historic,48.69506599782908,6.178773210020905,Bibliothèque,public_transport,48.692139,6.1786835,Hôtel du Marquis de Ville is located to the north of Bibliothèque.,"Heading north from Bibliothèque, you will reach Hôtel du Marquis de Ville after about 350 meters.","Bibliothèque has Hôtel du Marquis de Ville to its north, about 350 meters away.",OK,,,,
